Total Employees as of 01/2020,Number of Workers Laid Off,Impact Start Date,Why funding is critical to business_analysis
7,5,3/23/2020,"Revenue down $85k, mandated to be closed for all routine examinations, funding will pay rent, vendors, and utilities"
34,0,3/16/2020,"Two locations, losses expected in April/May; funds used for lease payments and utility bills"
7,7,1/30/2020,"Switched to takeout/delivery on 3/16, funding is critical to be able to stay afloat. Business has been forced to close, and all employees laid off."
5,4,3/26/2020,"Impact is truly going to be felt in Q2; funds would go towards lease, utilities"
8,5,3/27/2020,"Help pay for lease, supplies, utilities"
6,1,3/10/2020,"Revenue down $50K, business has slowed to almost nothing; funds will go to rent, accounts that are due, supplies and utility bills"
3,2,3/1/2020,Revenue down $40K; funding used for lease payments
3,3,3/17/2020,"Allow for payments on lease, utilities, operating costs, product restock when able to open"
3,6,3/21/2020,"Q2 will reflect the biggest impact; bake shop has been closed since March 20.  Funds will be used to pay rent, loan payment, utilities and COGS."
2,0.25,3/9/2020,"Customer base has been directed to work from home remvoing our main revenue source, events and catering bookings have been cancelled; funds will cover fixed operating expenses over the short term - truck payments, insurance, utilities, and health department fees."
4,4,3/18/2020,"The practice was shut down for at least the period March 18th-May 18th.  This has resulted in loss of 96% of revenue.  Funds will be used to pay for rent, utilities, payments on equipment and supplies. Any excess funds will be used in marketing efforts to increase revenue to replace some of the lost income."
6,Reduced Hours,3/16/2020,We serve the restaurant industry for HVAC.  They have all been shut down or reduced services and our service calls have also been reduced.  They are also not able to pay their bills for services already rendered.
1,0,3/18/2020,Sales have dropped to date by about 60% which has drastically effected cash flow in which is my biggest concern.  Additional cash from this grant will be used to cover bottling expense for wine that is being stored in temporary containers in which I was doing prior to the shutdown of my essential business customers.    
3,3,3/20/2020,"Revenue loss of $21K, contracts have been put on hold or cancelled, may lose over three buildings; funds will go to pay for 3 leases and 1 loan payment each month and to buy product supplies, marketing and phone lines."
1,1,2/22/2020,"All shows and events have been cancelled, funds needed to cover overhead and maintain business"
4,4,3/18/2020,Limited to emergency procedures only. All hygenists have been laid off.
10,4,3/16/2020,"We are a public golf course and our bar, restaurant, retail pro-shop has been closed, with the only options of to go orders. We still must maintain the golf course, so our maintenance crew is still working, we have employees to cook, clean as well as our golf pro who's on contract, being paid.  Yet there is no income coming in, other than a few to go orders.  We can not continue like this without help to pay overhead, utilities, loan payments, and payroll. "
7,0,3/26/2020,Impact will not be until Q2-estimated at $220K; funds will be used for inventory expense that was purchased before the stay at home order
1,1,3/1/2020,"We're seasonal and would normally just be hiring another person. We were also still trying to recover from a terrible Feb. 2019 from all the snow. We're worried about operating when we re-open. Funds would be used rent, advertising, insurance, utilities. "
0,0,3/15/2020,Estimated loss of $900/week; non-essential business: massage therapy; funds used to pay rent and expenses
0,0,2/14/2020,"Revenue loss of $25k, Could not get the necessary fertilizers and equipment needed to maintain the plants and products.  The have loss of revenue everyday by not being able to sell at our location, to stores and specialty shops and markets, wineries.  It has effected our ability to pay our bills, e.g., credit cards, heating, water, rent and taxes).  Products we spent money on in 2019 cannot be sold because of the COVID-19 closures.  We had some product perish and had to be wasted.  Funds will be used to for rent, taxes, interest paymetns, workers."
2,2,3/25/2020,"30% decline in revenue so far, mandated to not work on new construction and remodeling job sites. Funds will be used to keep the doors open, pay monthly expenses, insurance, and other overhead expenses"
9,6,3/16/2020,"Loss of revenue is expected to be $43,788 by May 4; funds will help keep the staff working that we are currently employing at our own cost and to help with our rent and utilities."
7,7,1/30/2020,"Switched to takeout/delivery on 3/16, funding is critical to be able to stay afloat. Business has been forced to close, and all employees laid off."
2,1,3/2/2020,85% drop in sales; funds used for supplier invoices and basic operating expenses
5 PT,0,3/20/2020,"Students have cancelled memberships, but we still need to pay rent, utilities, software costs, insurance, and payroll for teachers who are doing classes online.  We operate at cost.  There is no profit margin.  We have had to cancel planned events that would have brought in additional revenue. "
3,3,3/13/2020,"Funds needed for business overhead, truck payment, utilities, etc"
1,1,3/18/2020,Q2 will relect the impact of COVID; established salon catagorized as non-essential and had to close.  Funds will pay overhead costs and essentials
3,1.5,3/20/2020,"Loss of revenue of $44K, funds will pay for operating expense - insurance, phone lines, advertisement, marketing and utilities"
4,4,3/25/2020,"Revenue loss of at least $112,000; funds will pay for rent"
4,4,3/22/2020,"Customers asking to defer payments; funds would be used for material costs, equipment lease payment, building lease, utilities"
7,6,2/10/2020,Revenue down 63%; funds used to maintain infrascture and allow them to continue business
1,1,3/25/2020,We have had to completely close down our business.
1,0,3/15/2020,"My estimated quarterly revenue is normally $19k & we have lost 5 or so clients since March 15th. Reduced client fees by half to keep them throughout the pandemic.  We will be billing about $8k quarterly now. Funds will be used for operating expenses - advertising, marketing and web hosting fees"
2,2,3/15/2020,"Majority of clietns shutdown, earnings down 85-90%; runds used towards business expenses"
1,1,3/16/2020,"Revenue down $4K per month; non essential business (salon); funds will go to paying rent, insurance, and inventory."
6,6,3/13/2020,"Our clients are primarily churches. As soon as restrictions were put in place for public gatherings, churches not only cancelled public worship services, but also AV projects planned with us. They froze spending, so our projects were cancelled or put on hold indefinitely, and our cash flow was halted immediately. All scheduled training events were cancelled, and our main annual trade show in March was cancelled. We usually get 80% of our annual business from the Northwest Ministry Conference in Bellevue each year. This has been devastating, not only for current cash flow, but also for future business. "
1,1,4/1/2020,50% loss in revenue; funds used for advertising and website development for to recoup losses
1,0,3/1/2020,"Funds used to process raw goods into tanned good, thereby eliminating spoilage or loss, also used to clear outstanding invoices to vendors"
